Specimen ID	Nominal Species ID
OG859	Neophoca cinerea
OG860	Brachaluteres jacksonianus
OG861	Brachaluteres jacksonianus
OG862	Brachaluteres jacksonianus
OG863	Lutjanus argentimaculatus
OG864	Careproctus sp.
OG865	Bassozetus sp.
OG866	Pachycara sp.
OG867	Squalogadus cf. modificatus
OG868	Careproctus sp.
OG869	Pseudoliparis sp.
OG870	Aldrovandia affinis
OG871	Seleniolycus sp
OG872	Acanthonus armatus
OG873	Antimora rostrata
OG874	Acanthonus armatus
OG875	Bassozetus galatheae
OG876	Seleniolycus sp
OG877	Seleniolycus sp
OG878	Seleniolycus sp
OG879	Seleniolycus sp
OG880	Seleniolycus sp
OG881	Ipnops agassizzi
OG882	Bassozetus galatheae
OG883	Exocoetus volitans
OG884	Bathypterois sp
OG885	Bassozetus galatheae
OG886	Exocoetus volitans
OG887	Typhlonus nasus
OG888	Exocoetus volitans
OG889	Bassozetus sp. 2
OG890	Penopus sp
OG891	Ophidiidae larvae
OG892	Bassozetus sp. 3
OG893	Leucicorus sp
OG894	Pachycara sp
OG895	Barathrites iris
OG896	Barathrites iris
OG897	Barathrites iris
OG898	Barathrites iris
OG899	Pachycara sp
OG900	Seleniolycus sp
OG901	Seleniolycus sp
OG902	Seleniolycus sp
OG903	Pachycara sp
OG904	Acanthonus armatus
OG905	Coryphaenoides rudis
OG906	Galeorhinus galeus
OG907	Pentapodus vitta
OG908	Epinephelus areolatus
OG909	Bodianus solatus
OG910	Choerodon rubescens
OG911	Galeocerdo cuvier
OG912	Galeocerdo cuvier
OG913	Galeocerdo cuvier
OG914	Galeocerdo cuvier
OG915	Galeocerdo cuvier
OG916	Galeocerdo cuvier
OG917	Galeocerdo cuvier
OG918	Galeocerdo cuvier
OG919	Galeocerdo cuvier
OG920	Galeocerdo cuvier
OG921	Galeocerdo cuvier
OG922	Galeocerdo cuvier
OG923	Galeocerdo cuvier
OG924	Galeocerdo cuvier
OG925	Galeocerdo cuvier
